Number,Case,Velocity
1,23,0.5036271
1,23,0.1662841
1,23,0.1647162
1,23,0.124716
1,23,0.09454758
1,23,0.1846238
1,23,0.1530945
1,23,0.331514
1,23,0.3208984
1,24,0.2217985
1,24,0.2197109
1,24,0.11064
1,24,0.1275578
1,24,0.2468561
1,24,0.1196824
1,24,0.2056328
1,24,0.1032299
1,24,0.3542711
1,24,0.267414
1,25,0.4696844
1,25,0.2294497
1,25,0.1158812
1,25,0.09912784
1,25,0.2024831
1,25,0.1191232
1,25,0.3096422
1,25,0.1997673
1,25,0.209575
1,25,0.4079776
1,26,0.2130814
1,26,0.4253697
1,26,0.21288
1,26,0.3080769
1,26,0.1553066
1,26,0.1443294
1,26,0.3391064
1,26,0.1956369
1,26,0.2712845
1,27,0.8073109
1,27,0.4174162
1,27,0.4174954
1,27,0.7760838
1,27,0.3783248
1,28,0.7533724
1,28,0.5811033
1,28,1.048533
1,29,0.7032483
1,29,0.3722177
1,29,0.5736549
1,29,0.4127577
1,29,0.8096701
1,30,0.9320065
1,30,0.4420496
1,30,0.5197906
1,30,0.7868583
1,30,0.2897213
1,30,0.4687878
1,30,0.218583
10,11,0.2263179
10,11,0.1120221
10,11,0.1890168
10,11,0.09612277
10,11,0.06615689
10,11,0.2271127
10,11,0.1619082
10,11,0.3403631
10,12,0.1369804
10,12,0.06995118
10,12,0.07956611
10,12,0.04031314
10,12,0.09295636
10,12,0.04714021
10,12,0.03028416
10,12,0.1223769
10,12,0.09249516
10,13,0.08036126
10,13,0.08017295
10,13,0.0935332
10,13,0.0499652
10,13,0.04286471
10,13,0.01122819
10,13,0.03294022
10,13,0.01744892
10,13,0.03394287
10,13,0.02345489
10,13,0.02116625
10,13,0.1348885
10,13,0.1126359
10,14,0.196871
10,14,0.09961013
10,14,0.1488819
10,14,0.05348339
10,14,0.07116271
10,14,0.02127105
10,14,0.01061815
10,14,0.02517426
10,14,0.01433246
10,14,0.03284475
10,14,0.01672591
10,14,0.03056864
10,14,0.01271122
10,14,0.02207969
10,14,0.02244263
10,14,0.0193824
10,15,0.1145747
10,15,0.0373069
10,15,0.06657908
10,15,0.02652542
10,15,0.06943376
10,15,0.05958936
10,15,0.08738175
10,15,0.02835088
10,15,0.09075133
10,15,0.01944
10,15,0.03018738
10,15,0.04779423
10,15,0.1251651
10,16,0.1163059
10,16,0.03258826
10,16,0.08046298
10,16,0.03863385
10,16,0.07475206
10,16,0.03854811
10,16,0.03938715
10,16,0.04069293
10,16,0.021965
10,16,0.03482132
10,16,0.01912209
10,16,0.03151586
10,16,0.01546851
10,16,0.0293159
10,16,0.03966713
10,16,0.04337281
10,17,0.1587965
10,17,0.07956117
10,17,0.08347534
10,17,0.03966381
10,17,0.06406382
10,17,0.06163471
10,17,0.05668235
10,17,0.1671425
10,17,0.1101814
10,18,0.05287885
10,18,0.1080967
10,18,0.05277563
10,18,0.11492
10,18,0.06019323
10,18,0.1437527
10,18,0.08346177
10,18,0.1156363
10,18,0.0424598
10,18,0.04445628
10,18,0.1236761
10,18,0.06265336
10,18,0.05726408
10,18,0.03519871
10,18,0.06786171
10,18,0.143552
10,18,0.1344046
10,19,0.2119866
10,19,0.09154683
10,19,0.2104297
10,19,0.1167953
10,19,0.1958824
10,19,0.07974931
10,19,0.0816595
10,19,0.1396373
10,19,0.02470809
10,19,0.05535354
10,19,0.03490631
10,19,0.07150234
10,19,0.02668423
10,19,0.04692974
10,19,0.1951318
10,19,0.1240461
10,20,0.2122117
10,20,0.1049289
10,20,0.1747992
10,20,0.08827219
10,20,0.04070831
10,20,0.09748725
10,20,0.0178697
10,20,0.1161344
10,20,0.05969731
10,20,0.1166094
10,20,0.05925854
10,20,0.03472613
10,20,0.06393579
10,20,0.04576009
10,21,0.5993759
10,21,0.5141398
10,21,0.4949098
10,22,0.7388266
10,22,0.4387997
10,22,0.7385381
10,22,0.3101179
10,22,0.4970332
10,22,0.2022725
10,22,0.2053505
10,23,0.2312591
10,23,0.1135327
10,23,0.3315884
10,23,0.341823
10,23,0.6419104
10,23,0.8007054
10,24,0.1027007
10,24,0.1052492
10,24,0.105973
10,25,0.3636564
10,25,0.2447787
10,25,0.2371673
10,25,0.6455903
10,26,0.1476451
10,27,0.1312768
10,27,0.129363
10,27,0.3066058
10,27,0.1466832
10,27,0.2145061
10,27,0.1036782
10,27,0.3266319
10,28,0.4760063
10,28,0.2324165
10,28,0.2295006
10,28,1.004531
10,29,0.3001696
10,29,0.1984245
10,29,0.3211
10,29,0.1288983
10,29,0.1956492
10,29,0.1003176
10,29,0.1016517
10,29,0.2956003
10,30,0.1971975
10,30,0.1982614
10,30,0.5989398
10,30,0.4028271
10,31,0.2960422
10,31,0.1158898
10,31,0.2070526
10,31,0.1015694
10,31,0.2030045
10,31,0.1037974
10,31,0.1821473
10,31,0.1077767
10,31,0.1070454
10,10,0.1405023
10,10,0.06170811
10,10,0.1473408
10,10,0.05704312
10,10,0.06250144
10,10,0.1240951
10,10,0.06152291
10,10,0.12334
10,10,0.06323975
10,10,0.1058783
10,10,0.04367783
10,10,0.1108826
10,10,0.06549352
10,10,0.04459614
10,10,0.09195272
10,10,0.05018967
10,10,0.1053482
10,10,0.1964753
10,11,0.2263179
10,11,0.1120221
10,11,0.1890168
10,11,0.09612277
10,11,0.06615689
10,11,0.2271127
10,11,0.1619082
10,11,0.3403631
10,12,0.1369804
10,12,0.06995118
10,12,0.07956611
10,12,0.04031314
10,12,0.09295636
10,12,0.04714021
10,12,0.03028416
10,12,0.1223769
10,12,0.09249516
10,13,0.08036126
10,13,0.08017295
10,13,0.0935332
10,13,0.0499652
10,13,0.04286471
10,13,0.01122819
10,13,0.03294022
10,13,0.01744892
10,13,0.03394287
10,13,0.02345489
10,13,0.02116625
10,13,0.1348885
10,13,0.1126359
10,14,0.196871
10,14,0.09961013
10,14,0.1488819
10,14,0.05348339
10,14,0.07116271
10,14,0.02127105
10,14,0.01061815
10,14,0.02517426
10,14,0.01433246
10,14,0.03284475
10,14,0.01672591
10,14,0.03056864
10,14,0.01271122
10,14,0.02207969
10,14,0.02244263
10,14,0.0193824
10,15,0.1145747
10,15,0.0373069
10,15,0.06657908
10,15,0.02652542
10,15,0.06943376
10,15,0.05958936
10,15,0.08738175
10,15,0.02835088
10,15,0.09075133
10,15,0.01944
10,15,0.03018738
10,15,0.04779423
10,15,0.1251651
10,16,0.1163059
10,16,0.03258826
10,16,0.08046298
10,16,0.03863385
10,16,0.07475206
10,16,0.03854811
10,16,0.03938715
10,16,0.04069293
10,16,0.021965
