Number,Case,Velocity
Execute,15,0.1340963
Execute,15,0.3861177
Execute,15,0.1940748
Execute,15,0.1924811
Execute,16,0.5118419
Execute,16,1.080681
Execute,16,0.503367
Execute,16,0.1123924
Execute,16,0.06309332
Execute,16,0.09045939
Execute,16,0.3671589
Execute,16,0.1595914
Execute,16,0.5130807
Execute,16,0.6421174
Execute,17,0.3317734
Execute,17,0.5644751
Execute,17,0.03469259
Execute,17,0.109771
Execute,17,0.05853616
Execute,17,0.07594363
Execute,17,0.1891145
Execute,17,0.1291934
Execute,17,0.3642253
Execute,17,0.2742166
Execute,18,0.5160157
Execute,18,0.1846937
Execute,18,0.1877505
Execute,18,0.3032944
Execute,18,0.1179885
Execute,18,0.08975083
Execute,18,0.05347495
Execute,18,0.1232814
Execute,18,0.2138903
Execute,19,0.6289701
Execute,19,0.3571948
Execute,19,0.7542599
Execute,19,0.137912
Execute,19,0.1390839
Execute,19,0.1717282
Execute,19,0.1514179
Execute,19,0.6319568
Execute,19,0.4798006
Execute,20,0.7060602
Execute,20,0.358664
Execute,20,0.3529673
Execute,20,0.5205888
Execute,20,0.1788301
Execute,20,0.1538589
Execute,20,0.05141035
Execute,20,0.07986997
Execute,20,0.08705553
Execute,20,0.5033675
Execute,20,0.1982921
Execute,20,0.5132149
Execute,21,0.2921661
Execute,21,0.4259426
Execute,21,0.1400324
Execute,21,0.2006607
Execute,21,0.1092448
Execute,21,0.03385485
Execute,21,0.1723722
Execute,21,0.0964039
Execute,21,0.3486673
Execute,21,0.1706112
Execute,22,0.1933587
Execute,22,0.1968729
Execute,22,0.3090733
Execute,22,0.1864433
Execute,22,0.3690015
Execute,22,0.1710957
Execute,22,0.3847071
Execute,22,0.2535196
Execute,22,0.2787094
Execute,23,0.3293889
Execute,23,0.2681933
Execute,23,0.5180498
Execute,23,0.5036271
Execute,23,0.1662841
Execute,23,0.1647162
Execute,23,0.124716
Execute,23,0.09454758
Execute,23,0.1846238
Execute,23,0.1530945
Execute,23,0.331514
Execute,23,0.3208984
Execute,24,0.2217985
Execute,24,0.2197109
Execute,24,0.11064
Execute,24,0.1275578
Execute,24,0.2468561
Execute,24,0.1196824
Execute,24,0.2056328
Execute,24,0.1032299
Execute,24,0.3542711
Execute,24,0.267414
Execute,25,0.4696844
Execute,25,0.2294497
Execute,25,0.1158812
Execute,25,0.09912784
Execute,25,0.2024831
Execute,25,0.1191232
Execute,25,0.3096422
Execute,25,0.1997673
Execute,25,0.209575
Execute,25,0.4079776
Execute,26,0.2130814
Execute,26,0.4253697
Execute,26,0.21288
Execute,26,0.3080769
Execute,26,0.1553066
Execute,26,0.1443294
Execute,26,0.3391064
Execute,26,0.1956369
Execute,26,0.2712845
Execute,27,0.8073109
Execute,27,0.4174162
Execute,27,0.4174954
Execute,27,0.7760838
Execute,27,0.3783248
Execute,28,0.7533724
Execute,28,0.5811033
Execute,28,1.048533
Execute,29,0.7032483
Execute,29,0.3722177
Execute,29,0.5736549
Execute,29,0.4127577
Execute,29,0.8096701
Execute,30,0.9320065
Execute,30,0.4420496
Execute,30,0.5197906
Execute,30,0.7868583
Execute,30,0.2897213
Execute,30,0.4687878
Execute,30,0.218583
Execute,1,0.1242555
Execute,1,0.1228733
Execute,1,0.3375212
Execute,1,0.1123881
Execute,1,0.117355
Execute,1,0.2528705
Execute,1,0.134308
Execute,1,0.1325115
Execute,1,0.2890639
Execute,1,0.141979
Execute,1,0.2383872
Execute,1,0.05097565
Execute,1,0.05389693
Execute,1,0.06208477
Execute,1,0.0216819
Execute,1,0.06570642
Execute,1,0.04745263
Execute,1,0.1423568
Execute,1,0.0934882
Execute,1,0.08809535
Execute,1,0.1940735
Execute,2,0.07249374
Execute,2,0.14738
Execute,2,0.079313
Execute,2,0.1404942
Execute,2,0.06225166
Execute,2,0.064381
Execute,2,0.1292524
Execute,2,0.06217177
Execute,2,0.0887569
Execute,2,0.03164682
Execute,2,0.0512739
Execute,2,0.03469281
Execute,2,0.03024479
Execute,2,0.0593444
Execute,2,0.02996071
Execute,2,0.1550086
Execute,2,0.1192207
Execute,3,0.09242847
Execute,3,0.1318418
Execute,3,0.04357255
Execute,3,0.04797267
Execute,3,0.03110786
Execute,3,0.02136101
Execute,3,0.06151284
Execute,3,0.02239742
Execute,3,0.03938441
Execute,3,0.04947906
Execute,3,0.08809973
Execute,3,0.1367158
Execute,3,0.135249
Execute,4,0.1555414
Execute,4,0.06876902
Execute,4,0.1452434
Execute,4,0.08217329
Execute,4,0.142911
Execute,4,0.06485739
Execute,4,0.06506022
Execute,4,0.06419446
Execute,4,0.04464396
Execute,4,0.07999288
Execute,4,0.07134926
Execute,5,0.1269102
Execute,5,0.04653569
Execute,5,0.1020101
Execute,5,0.04103004
Execute,5,0.04352401
Execute,5,0.0711624
Execute,5,0.03117932
Execute,5,0.04021272
Execute,5,0.01324273
Execute,5,0.02424883
Execute,5,0.01930417
Execute,5,0.08396376
Execute,5,0.03898373
Execute,5,0.1097483
Execute,5,0.209037
Execute,6,0.2105136
Execute,6,0.08951019
Execute,6,0.09245522
Execute,6,0.1186266
Execute,6,0.07795051
Execute,6,0.162869
Execute,6,0.03973219
Execute,6,0.08655217
Execute,6,0.01823347
Execute,6,0.01610079
Execute,6,0.05850818
Execute,6,0.05137099
Execute,6,0.1449244
Execute,6,0.1749923
Execute,6,0.2489778
Execute,7,0.4616581
Execute,7,0.2277406
Execute,7,0.4904963
Execute,7,0.4969349
Execute,7,0.2097312
Execute,7,0.4177818
Execute,7,0.03390242
Execute,7,0.02532671
Execute,7,0.02537878
Execute,7,0.3111235
Execute,7,0.3522589
Execute,7,0.01353703
Execute,7,0.394673
Execute,7,0.1942823
Execute,7,0.1847333
Execute,7,0.4200601
Execute,8,0.1481622
Execute,8,0.224272
Execute,8,0.1196772
Execute,8,0.1432107
Execute,8,0.2896796
Execute,8,0.274646
Execute,8,0.1383895
Execute,8,0.07162523
Execute,8,0.1291633
Execute,8,0.05508291
Execute,8,0.06504762
Execute,8,0.01878036
Execute,8,0.02824528
Execute,8,0.01413213
Execute,8,0.01193403
Execute,8,0.0554907
Execute,8,0.02367401
Execute,8,0.09340157
Execute,8,0.04102153
Execute,8,0.09847881
Execute,8,0.02696659
