Number,Case,Velocity
10,7,0.02537878
10,7,0.3111235
10,7,0.3522589
10,7,0.01353703
10,7,0.394673
10,7,0.1942823
10,7,0.1847333
10,7,0.4200601
10,8,0.1481622
10,8,0.224272
10,8,0.1196772
10,8,0.1432107
10,8,0.2896796
10,8,0.274646
10,8,0.1383895
10,8,0.07162523
10,8,0.1291633
10,8,0.05508291
10,8,0.06504762
10,8,0.01878036
10,8,0.02824528
10,8,0.01413213
10,8,0.01193403
10,8,0.0554907
10,8,0.02367401
10,8,0.09340157
10,8,0.04102153
10,8,0.09847881
10,8,0.02696659
10,8,0.02628313
10,8,0.06171151
10,8,0.03625785
10,8,0.04552045
10,8,0.0151326
10,8,0.06962083
10,8,0.0547847
10,8,0.1483093
10,8,0.09211107
10,8,0.2597577
10,9,0.1350236
10,9,0.07918698
10,9,0.04638403
10,9,0.09471846
10,9,0.04853648
10,9,0.0562225
10,9,0.1495381
10,9,0.09049318
10,9,0.1875142
10,9,0.09655367
10,9,0.1553844
10,9,0.06139362
10,9,0.06296721
10,9,0.1095396
10,9,0.05602027
10,9,0.04010081
10,9,0.03794062
10,9,0.05892141
10,9,0.08835214
10,9,0.1606719
10,9,0.136758
10,9,0.1298939
10,9,0.2332427
10,10,0.1405023
10,10,0.06170811
10,10,0.1473408
10,10,0.05704312
10,10,0.06250144
10,10,0.1240951
10,10,0.06152291
10,10,0.12334
10,10,0.06323975
10,10,0.1058783
10,10,0.04367783
10,10,0.1108826
10,10,0.06549352
10,10,0.04459614
10,10,0.09195272
10,10,0.05018967
10,10,0.1053482
10,10,0.1964753
2,1,0.1040827
2,1,0.05961879
2,1,0.0730145
2,1,0.1595858
2,1,0.007771016
2,1,0.1529067
2,1,0.04373154
2,1,0.1050738
2,1,0.06097626
2,1,0.0608953
2,1,0.08760382
2,1,0.07589856
2,1,0.1898515
2,1,0.1172119
2,2,0.169912
2,2,0.1678389
2,2,0.260695
2,2,0.113146
2,2,0.1625666
2,2,0.003455171
2,2,0.1899846
2,2,0.01842812
2,2,0.1074666
2,2,0.06328864
2,2,0.03486688
2,2,0.05671184
2,2,0.139763
2,2,0.4077452
2,2,0.2617816
2,3,0.2197383
2,3,0.1466971
2,3,0.07880798
2,3,0.1053588
2,3,0.06934488
2,3,0.230205
2,3,0.136035
2,3,0.1285258
2,4,0.09499472
2,4,0.09737879
2,4,0.116951
2,4,0.02316704
2,4,0.1652201
2,4,0.07326292
2,4,0.1340548
2,4,0.2567893
2,5,0.06721281
2,5,0.1147367
2,5,0.04886226
2,5,0.09203351
2,5,0.04467139
2,5,0.08919138
2,6,0.2569557
2,6,0.3656234
2,6,0.06526396
2,6,0.148721
2,6,0.007751868
2,6,0.01367425
2,6,0.1554854
2,6,0.1140024
2,6,0.2074705
2,6,0.2172384
2,7,0.2153507
2,7,0.09398652
2,7,0.03035498
2,7,0.0612916
2,7,0.03192533
2,7,0.04822848
2,7,0.01962416
2,7,0.1118357
2,7,0.1185089
2,7,0.2243892
2,7,0.1148771
2,7,0.1108033
2,7,0.03060373
2,7,0.07649992
2,7,0.1363653
2,8,0.2392985
2,8,0.3997791
2,8,0.1640081
2,8,0.09798101
2,8,0.03757238
2,8,0.1461937
2,8,0.3294204
2,8,0.185375
2,9,0.2201365
2,9,0.113654
2,9,0.1937984
2,9,0.1473271
2,9,0.1407192
2,10,0.4295292
2,10,0.6210206
2,10,0.220228
2,10,0.04552931
2,10,0.03165568
2,10,0.1804945
2,10,0.5281224
3,1,0.2928395
3,1,0.1765658
3,1,0.1739097
3,1,0.312182
3,1,0.05197021
3,1,0.08056026
3,1,0.01080756
3,1,0.0664985
3,1,0.0286253
3,1,0.04372972
3,1,0.01750515
3,1,0.02045932
3,1,0.02005493
3,1,0.05323911
3,1,0.02983362
3,1,0.06119359
3,1,0.03608747
3,1,0.03369003
3,1,0.139521
3,1,0.1142702
3,1,0.2195435
3,1,0.1787806
3,2,0.155277
3,2,0.2203122
3,2,0.2221588
3,2,0.1029705
3,2,0.0227659
3,2,0.02519519
3,2,0.03745411
3,2,0.02395837
3,2,0.0687221
3,2,0.009572718
3,2,0.01737017
3,2,0.007475241
3,2,0.05507906
3,2,0.03835741
3,2,0.03223407
3,2,0.1235832
3,2,0.05686479
3,2,0.1013273
3,2,0.05988098
3,2,0.1652224
3,2,0.1049075
3,2,0.1027028
3,3,0.1315671
3,3,0.1313621
3,3,0.04977817
3,3,0.1078576
3,3,0.04285075
3,3,0.08893926
3,3,0.04632424
3,3,0.0321945
3,3,0.01923775
3,3,0.02818117
3,3,0.05158232
3,3,0.02200987
3,3,0.03167424
3,3,0.0146996
3,3,0.05389927
3,3,0.03039273
3,3,0.02004546
3,3,0.0615199
3,3,0.02136118
3,3,0.01647974
3,4,0.1931898
3,4,0.1519388
3,4,0.2216746
3,4,0.07376391
3,4,0.1068484
3,4,0.04291109
3,4,0.08420669
3,4,0.04400969
3,4,0.07581361
3,4,0.03076577
3,4,0.02867329
3,4,0.05668499
3,4,0.09654036
3,4,0.184126
3,4,0.1503609
3,4,0.3589012
3,4,0.210628
3,5,0.1487786
3,5,0.2812464
3,5,0.1411466
3,5,0.1380031
3,5,0.2242482
3,5,0.08854653
3,5,0.16173
3,5,0.0779873
3,5,0.09513636
3,5,0.0293212
3,5,0.03142589
3,5,0.02254581
3,5,0.02150509
3,5,0.2193124
3,5,0.2062199
3,5,0.3849555
3,5,0.2417622
3,6,0.1224419
3,6,0.142731
3,6,0.09350796
3,6,0.2092626
3,6,0.05281125
3,6,0.06451076
3,6,0.007579253
3,6,0.03788177
3,6,0.02773687
3,6,0.06684898
3,6,0.05124674
3,6,0.08434089
3,6,0.1541819
3,6,0.1351981
3,6,0.2573665
3,6,0.1253909
3,6,0.3172615
3,6,0.1539098
3,7,0.1312004
3,7,0.132098
3,7,0.2490878
3,7,0.1001463
3,7,0.2028882
3,7,0.0368854
3,7,0.06814872
3,7,0.03137816
3,7,0.0459474
3,7,0.02682537
3,7,0.02156153
3,7,0.04170004
3,7,0.01982464
3,7,0.05920853
3,7,0.03665552
3,7,0.1566409
3,7,0.1783046
3,7,0.01968103
3,8,0.1010538
3,8,0.2384293
3,8,0.1032286
3,8,0.2297204
3,8,0.1251362
3,8,0.124955
3,8,0.2701299
3,8,0.1049253
3,8,0.1479903
3,8,0.04795125
3,8,0.05744011
3,8,0.02559233
3,8,0.06970555
3,8,0.07678911
3,8,0.06902267
3,8,0.1685187
3,8,0.09922063
3,8,0.3112694
3,8,0.1487675
3,8,0.4146095
3,8,0.2245356
3,9,0.2133911
3,9,0.3422857
3,9,0.0650868
3,9,0.06543261
3,9,0.1823796
3,9,0.06603091
3,9,0.1154647
3,9,0.05650288
3,9,0.04969017
3,9,0.1158338
3,9,0.06838989
3,9,0.153083
3,9,0.1477423
3,9,0.2806925
3,9,0.1937083
3,10,0.1769758
3,10,0.1781265
3,10,0.1759319
3,10,0.3658222
3,10,0.3021872
3,10,0.07429068
3,10,0.1567578
3,10,0.03287074
3,10,0.06090109
3,10,0.029745
3,10,0.02840898
3,10,0.1157863
3,10,0.1108037
3,10,0.2990627
3,10,0.1857586
3,10,0.4688443
3,10,0.2737609
4,1,0.361676
4,1,0.175396
4,1,0.134535
4,1,0.2820606
4,1,0.1461289
4,1,0.2507496
4,1,0.1247923
4,1,0.2600628
4,1,0.09154966
4,1,0.1808783
4,1,0.05169527
4,1,0.05102437
4,1,0.1280895
4,1,0.08041305
4,1,0.1442941
4,1,0.1134061
4,1,0.3328271
4,1,0.1448503
4,1,0.2264751
4,1,0.3417025
4,1,0.2316136
4,1,0.417093
4,2,0.248183
4,2,0.1681842
4,2,0.04317893
4,2,0.103572
4,2,0.01121995
4,2,0.01300862
4,2,0.020034
4,2,0.08276289
4,2,0.03677831
4,2,0.04934187
4,2,0.10542
4,2,0.01454069
4,2,0.03204132
4,2,0.01902226
4,2,0.07667463
4,2,0.02574004
4,2,0.04668725
4,2,0.01018205
4,2,0.009355327
4,2,0.02972738
4,2,0.02034685
4,2,0.07434186
4,2,0.03619536
4,2,0.2046175
4,3,0.2068302
4,3,0.02934433
4,3,0.07393149
4,3,0.02566953
4,3,0.02273508
4,3,0.07792839
4,3,0.03159606
4,3,0.1403364
4,3,0.06452203
4,3,0.09170415
4,3,0.03271715
4,3,0.0468392
4,3,0.01771012
4,3,0.005903128
4,3,0.01310955
4,3,0.01064248
4,3,0.01711667
4,3,0.008033046
4,3,0.03175732
4,3,0.02388191
4,3,0.02461996
4,3,0.1224172
4,3,0.09863653
4,4,0.2318477
4,4,0.1444252
4,4,0.1944198
4,4,0.05547667
4,4,0.06992987
4,4,0.01685354
4,4,0.02023664
4,4,0.02762754
4,4,0.009657015
4,4,0.04846948
4,4,0.039641
4,4,0.06934763
4,4,0.04420053
4,4,0.04123153
4,4,0.06313638
4,4,0.02978309
4,4,0.02547814
4,4,0.0129393
4,4,0.08691162
4,4,0.0826893
4,4,0.2670068
4,4,0.2411592
4,5,0.260259
4,5,0.1438005
4,5,0.2959757
4,5,0.05141791
4,5,0.05675296
4,5,0.06941159
4,5,0.08670791
4,5,0.05205297
4,5,0.04498446
4,5,0.1529786
4,5,0.06139551
4,5,0.06048659
4,5,0.009329582
4,5,0.02663146
4,5,0.02733524
4,5,0.01050491
4,5,0.01929381
4,5,0.03095082
4,5,0.05347658
4,5,0.02371005
4,5,0.01082464
4,5,0.02269111
4,5,0.1892014
4,5,0.3669958
4,6,0.1292314
4,6,0.04525933
4,6,0.08635297
4,6,0.01922274
4,6,0.07052331
4,6,0.03110188
4,6,0.04804294
4,6,0.04285024
4,6,0.04312895
4,6,0.07186066
4,6,0.04539571
4,6,0.07599029
4,6,0.03336376
4,6,0.05808572
4,6,0.1108889
4,6,0.05876015
4,6,0.1478982
4,6,0.08942306
4,6,0.1404585
4,6,0.06705295
4,6,0.1264816
4,6,0.07066416
4,6,0.06764724
4,6,0.08596945
4,6,0.04323121
4,6,0.09437419
4,6,0.1175477
4,7,0.1576684
4,7,0.2661551
4,7,0.1088027
4,7,0.1558088
4,7,0.05491363
4,7,0.01432456
4,7,0.0410851
4,7,0.02487819
4,7,0.05107376
4,7,0.02941155
4,7,0.08246747
4,7,0.03700155
4,7,0.1936948
4,7,0.07942674
4,7,0.07586801
4,7,0.2450113
4,7,0.1171963
4,7,0.2973983
4,8,0.1039556
4,8,0.06813617
4,8,0.1090073
4,8,0.07942254
4,8,0.1599557
4,8,0.1074891
4,8,0.08090782
4,8,0.0511187
4,8,0.08132122
4,8,0.03657374
4,8,0.06594791
4,8,0.02504551
4,8,0.02453475
4,8,0.09039278
4,8,0.04271582
4,8,0.09589971
4,8,0.07134088
4,8,0.1581452
4,8,0.09056468
4,8,0.08943796
4,9,0.1576644
4,9,0.1583553
4,9,0.2421896
4,9,0.1241444
4,9,0.1754989
4,9,0.04129032
4,9,0.04546554
4,9,0.0523189
4,9,0.02893469
4,9,0.04683166
4,9,0.02068217
4,9,0.05518338
4,9,0.03522806
4,9,0.03224322
4,9,0.07834362
4,9,0.04144632
4,9,0.05586817
4,9,0.01810673
4,9,0.02472225
4,9,0.01097442
4,9,0.02261503
4,9,0.05973721
4,9,0.01183218
4,9,0.05295337
4,9,0.02819133
4,9,0.05048255
4,9,0.02609033
4,10,0.2707188
4,10,0.3850845
4,10,0.1566449
4,10,0.1581193
4,10,0.3325244
4,10,0.1701878
4,10,0.2251473
4,10,0.0627642
4,10,0.1563579
4,10,0.08997702
4,10,0.1439957
4,10,0.0636412
4,10,0.0271874
4,10,0.05927175
4,10,0.02372132
4,10,0.02155038
4,10,0.06440186
4,10,0.1308715
4,10,0.05784206
4,10,0.09504485
4,10,0.04030467
4,10,0.04062402
4,10,0.1775469
4,10,0.08369148
5,1,0.120279
5,1,0.1120587
5,1,0.1136271
5,1,0.08589792
5,1,0.1105114
5,1,0.03329282
5,1,0.03875253
5,1,0.0134848
5,1,0.01716957
5,1,0.0241872
5,1,0.0191701
5,1,0.02737312
5,1,0.01726786
5,1,0.05329959
5,1,0.02692997
5,1,0.0343256
5,1,0.05732409
5,1,0.02325189
5,1,0.03892377
5,1,0.01947121
5,1,0.02302199
5,1,0.0131844
5,1,0.01326733
5,1,0.0357298
5,1,0.01713047
5,1,0.05679535
5,1,0.01301546
5,1,0.02640412
5,1,0.0151925
5,1,0.02777999
5,1,0.01291557
5,1,0.0120149
5,1,0.02348773
5,1,0.01634173
5,1,0.02315694
5,1,0.009077807
5,1,0.006970723
5,1,0.009255068
5,1,0.0164407
5,1,0.04055541
5,1,0.01651264
5,1,0.02481275
5,1,0.01285318
5,1,0.02874739
5,1,0.01601556
5,1,0.01559943
5,1,0.03757896
5,1,0.009781666
5,1,0.02717302
5,1,0.01269353
5,1,0.01302491
5,1,0.0185027
5,1,0.05938644
5,1,0.04908144
5,1,0.0460263
5,1,0.07388563
5,2,0.05531004
5,2,0.09663083
5,2,0.04332869
5,2,0.02280458
5,2,0.01970137
5,2,0.1084202
5,2,0.05240331
5,2,0.06917576
5,2,0.02340895
5,2,0.02282082
5,2,0.03025271
5,2,0.01844857
5,2,0.0375821
5,2,0.0237655
5,2,0.04428445
5,2,0.02042551
5,2,0.008783804
5,2,0.02067186
5,2,0.007748737
5,2,0.02452825
5,2,0.01611239
5,2,0.05918683
5,2,0.01812124
5,2,0.02826041
5,2,0.005528167
5,2,0.002357878
5,2,0.01046626
5,2,0.006724498
5,2,0.01633032
5,2,0.006266079
5,2,0.03286215
5,2,0.02082649
5,2,0.02049064
5,2,0.04723431
5,2,0.02730833
5,2,0.02337515
5,2,0.01131351
5,2,0.007642281
5,2,0.01788384
5,2,0.01134187
5,2,0.02085442
5,2,0.009533573
5,2,0.03009776
5,2,0.01556061
5,2,0.02116346
5,2,0.006656669
5,2,0.01878388
5,2,0.01472775
5,2,0.01395058
5,2,0.03015423
5,2,0.01561764
5,2,0.04708648
5,2,0.03376928
5,2,0.1135611
5,2,0.05455027
5,2,0.07031902
5,2,0.1171353
5,3,0.1312831
5,3,0.1396092
5,3,0.1114314
5,3,0.0579354
5,3,0.07510281
5,3,0.03867928
5,3,0.05777946
5,3,0.01624513
5,3,0.03147629
5,3,0.0340661
5,3,0.01393093
5,3,0.02890007
5,3,0.02195629
5,3,0.02490375
5,3,0.01221087
5,3,0.007390034
5,3,0.0298022
5,3,0.02221162
5,3,0.04067143
5,3,0.0196035
5,3,0.06428359
5,3,0.03066055
5,3,0.07137314
5,3,0.03412459
5,3,0.03207974
5,3,0.04925536
5,3,0.01486562
5,3,0.02009492
5,3,0.008231175
5,3,0.02123882
5,3,0.01580105
5,3,0.01582761
5,3,0.0350812
5,3,0.02067288
5,3,0.03919213
5,3,0.01963246
5,3,0.04080774
5,3,0.02085263
5,3,0.04026557
5,3,0.01872746
5,3,0.01786266
5,3,0.03062852
5,3,0.01559879
5,3,0.02502043
5,3,0.01950617
5,3,0.01868421
5,3,0.07069077
5,3,0.07032377
5,3,0.01131201
5,3,0.009341413
5,3,0.01605535
5,3,0.01113903
5,3,0.02629442
5,3,0.01516311
5,3,0.0315021
5,3,0.02056358
5,3,0.02291212
5,3,0.03422152
5,3,0.005009287
5,3,0.1157571
5,3,0.01713571
5,3,0.09961387
5,3,0.05752476
5,3,0.1151358
5,4,0.08032811
5,4,0.01670335
5,4,0.01467835
5,4,0.02725151
5,4,0.025108
5,4,0.05930224
5,4,0.02709491
5,4,0.1054146
5,4,0.03657748
5,4,0.03649178
5,4,0.0614248
5,4,0.01174239
5,4,0.06173764
5,4,0.03322316
5,4,0.05242752
5,4,0.009210621
5,4,0.06052411
5,4,0.01877184
5,4,0.0215828
5,4,0.04270863
5,4,0.01306907
5,4,0.01815741
5,4,0.006521455
5,4,0.02822602
5,4,0.01403143
5,4,0.007179652
5,4,0.008387307
5,4,0.007219678
5,4,0.01481811
5,4,0.01018472
5,4,0.02839402
5,4,0.01501935
5,4,0.01478849
5,4,0.01752143
5,4,0.004950945
5,4,0.02488997
5,4,0.01279844
5,4,0.01219697
5,4,0.02498522
5,4,0.02862175
5,4,0.01541765
5,4,0.01479009
5,4,0.02545271
5,4,0.0171956
5,4,0.0168541
5,4,0.005461696
5,4,0.008555551
5,4,0.01163369
5,4,0.03337338
5,4,0.01441196
5,4,0.01499254
5,4,0.03228066
5,4,0.01812493
5,4,0.01718185
5,4,0.01703944
5,4,0.03144109
5,4,0.008263113
5,4,0.008326277
5,4,0.03329746
5,4,0.01257104
5,4,0.02974294
5,4,0.02202998
5,4,0.02316379
5,4,0.01320498
5,4,0.03328849
5,4,0.0173275
5,4,0.01164587
5,4,0.03059357
5,4,0.01584723
5,4,0.05284894
5,4,0.04681776
5,4,0.08459241
5,5,0.1474393
5,5,0.1498152
5,5,0.1332002
5,5,0.1023261
5,5,0.0770923
5,5,0.1399242
5,5,0.06505076
5,5,0.04503645
5,5,0.09696933
5,5,0.02027517
5,5,0.03053811
5,5,0.01161442
5,5,0.02256605
5,5,0.008882805
5,5,0.01401641
5,5,0.005066833
5,5,0.01286566
5,5,0.01516494
5,5,0.009335985
