Number,Case,Acceleration
3,7,-5.922541
3,7,-2.267529
3,7,-1.448076
3,7,-0.04861495
3,7,-1.120069
3,7,-1.289049
3,7,-0.1114651
3,7,-0.7895206
3,7,-4.481579
3,8,-10.01037
3,8,-7.693422
3,8,-7.141066
3,8,-7.925079
3,8,-2.8593
3,8,-3.774318
3,8,-0.04968625
3,8,-2.28944
3,9,-7.860625
3,9,-3.774922
3,9,-3.210818
3,9,-0.844682
3,9,-2.741206
3,9,-0.02859961
3,9,-0.7360978
3,9,-0.05137268
3,9,-1.636729
3,9,-2.500221
3,10,-14.25403
3,10,-0.2917752
3,10,-11.81254
3,10,-8.757808
3,10,-3.507687
3,10,-1.078279
3,10,-3.048862
3,10,-0.2277252
3,10,-1.441237
3,10,-2.994467
3,10,-6.55698
3,10,-0.07591397
4,2,-6.738923
4,2,-3.817353
4,2,-1.747122
4,2,-0.981882
4,2,-0.4001347
4,2,-3.179861
4,2,-0.998731
4,2,-0.03831722
4,2,-4.436126
4,2,-0.09867437
4,2,-1.009028
4,2,-1.743083
4,2,-0.1180209
4,3,-0.3178239
4,3,-0.9573042
4,3,-6.20155
4,3,-5.662899
4,3,-2.48521
4,3,-1.451959
4,3,-1.278272
4,3,-2.315491
4,3,-1.560782
4,3,-0.09895042
4,3,-7.41705
4,4,-0.6998956
4,4,-5.482242
4,4,-7.37606
4,4,-1.50021
4,4,-3.627539
4,4,-2.644928
4,4,-0.7319576
4,4,-1.822218
4,5,-1.11057
4,5,-2.067966
4,5,-0.5545068
4,5,-5.926589
4,5,-0.5430806
4,5,-1.692048
4,5,-0.1731057
4,5,-7.384353
4,6,-2.109192
4,6,-3.482923
4,6,-1.579952
4,6,-2.0121
4,6,-0.07458385
4,6,-4.607668
4,6,-0.2326436
4,6,-2.554534
4,6,-2.53492
4,6,-2.486378
4,6,-0.1347238
4,6,-1.87495
4,6,-1.327518
4,6,-1.588501
4,6,-1.735018
4,6,-2.213144
4,7,-0.1356617
4,7,-3.81802
4,7,-7.640305
4,7,-1.469015
4,7,-3.469506
4,7,-3.165832
4,7,-0.3791249
4,7,-0.1102179
4,7,-2.028054
4,7,-0.7465062
4,7,-1.804776
4,7,-4.206934
4,7,-2.507709
4,7,-0.2122767
4,7,-4.237837
4,8,-0.1769617
4,8,-18.96827
4,8,-11.24504
4,8,-8.813562
4,8,-3.461242
4,8,-3.191953
4,8,-0.1961881
4,8,-1.325252
4,8,-2.93758
4,8,-5.078544
4,8,-10.0168
4,9,-3.212463
4,9,-8.314629
4,9,-3.50672
4,9,-5.820121
4,9,-1.3166
4,9,-1.581671
4,9,-3.057211
4,9,-2.239249
4,9,-5.623557
4,10,-4.291615
4,10,-3.096755
4,10,-1.956715
4,10,-5.630015
4,10,-1.580921
4,10,-0.9917049
4,10,-3.362293
4,10,-0.0881914
4,10,-4.237829
4,11,-17.96493
4,11,-25.971
4,11,-2.781227
4,11,-1.55572
4,11,-0.6437212
4,11,-8.756241
4,12,-0.5813912
4,12,-10.04548
4,12,-1.136841
4,12,-3.164238
4,12,-8.246044
4,12,-0.3419973
4,12,-1.541962
4,13,-7.141274
4,13,-6.376024
4,13,-0.3823868
4,13,-1.292639
4,13,-3.519307
4,13,-4.480767
4,13,-0.2017571
4,13,-2.730551
4,13,-4.85269
4,13,-3.633363
4,13,-1.079569
4,13,-0.6389754
4,13,-1.846744
4,13,-3.519961
4,14,-3.231865
4,14,-0.394599
4,14,-1.177554
4,14,-0.2384784
4,14,-0.6624869
4,14,-0.9331607
4,14,-1.702457
4,14,-2.359167
4,14,-2.309603
4,14,-0.200781
4,14,-1.421781
4,15,-1.269708
4,15,-1.736055
4,15,-2.772453
4,15,-0.7247351
4,15,-0.6692778
4,15,-0.5014873
4,15,-0.06538872
4,15,-0.8724872
4,15,-0.01438595
4,15,-0.3975805
4,15,-0.8594744
4,15,-2.671031
4,15,-0.6013707
4,15,-1.363418
4,15,-2.089052
4,15,-1.371404
4,15,-1.53986
