Number,Case,Velocity
2,5,0.07897054
2,6,0.09064496
2,6,0.09417025
2,6,0.1768622
2,6,0.06097849
2,6,0.08601206
2,6,0.08536515
2,6,0.1412271
2,6,0.04724813
2,6,0.06123484
2,6,0.00596538
2,6,0.004064034
2,6,0.01741375
2,6,0.007526837
2,6,0.04440638
2,6,0.006109358
2,6,0.02265459
2,6,0.01706548
2,6,0.01671925
2,6,0.03673026
2,6,0.01645024
2,6,0.03424959
2,6,0.01946147
2,6,0.03552917
2,6,0.01698679
2,6,0.02674128
2,6,0.0119168
2,6,0.03169862
2,6,0.05471633
2,6,0.02643313
2,6,0.05145158
2,6,0.02533151
2,6,0.1575096
2,6,0.1516437
2,7,0.1651264
2,7,0.09097813
2,7,0.1358864
2,7,0.04795535
2,7,0.1240633
2,7,0.06303462
2,7,0.05647786
2,7,0.1299106
2,7,0.0726328
2,7,0.02510264
2,7,0.0147671
2,7,0.03819968
2,7,0.0182594
2,7,0.04421914
2,7,0.03119717
2,7,0.01290843
2,7,0.03049907
2,7,0.00910281
2,7,0.03966479
2,7,0.02228122
2,7,0.01719522
2,7,0.004348811
2,7,0.03265927
2,7,0.03127938
2,7,0.01217679
2,7,0.01795806
2,7,0.008221062
2,7,0.02037569
2,7,0.01502904
2,7,0.01415017
2,7,0.01923333
2,7,0.02140587
2,7,0.03583578
2,7,0.02846415
2,7,0.09089869
2,7,0.06256541
2,7,0.09952845
2,7,0.04941516
2,7,0.1096011
2,7,0.1165224
2,8,0.1145064
2,8,0.1669099
2,8,0.07889749
2,8,0.1183824
2,8,0.03860279
2,8,0.04089202
2,8,0.07893584
2,8,0.08585761
2,8,0.01112615
2,8,0.03226593
2,8,0.02231479
2,8,0.02404845
2,8,0.01256452
2,8,0.01130698
2,8,0.02904292
2,8,0.01786374
2,8,0.02424038
2,8,0.01194965
2,8,0.06215659
2,8,0.01076537
2,8,0.01697428
2,8,0.002832809
2,8,0.00502842
2,8,0.03847284
2,8,0.02040591
2,8,0.03558617
2,8,0.02621185
2,8,0.04740841
2,8,0.01141093
2,8,0.006573072
2,8,0.02800039
2,8,0.01300239
2,8,0.06609575
2,8,0.01059349
2,8,0.04637504
2,8,0.03782529
2,8,0.03661678
2,8,0.1727331
2,8,0.1179269
2,8,0.09618861
2,9,0.1414377
2,9,0.2025877
2,9,0.1058012
2,9,0.167105
2,9,0.1413698
2,9,0.1380915
2,9,0.2451048
2,9,0.1206282
2,9,0.1101649
2,9,0.02385894
2,9,0.04700647
2,9,0.02663841
2,9,0.02416644
2,9,0.02145452
2,9,0.03714188
2,9,0.07031948
2,9,0.009601102
2,9,0.02453285
2,9,0.01538792
2,9,0.02436687
2,9,0.01120354
2,9,0.01730553
2,9,0.04838235
2,9,0.03194767
2,9,0.06691033
2,9,0.03177522
2,9,0.03969088
2,9,0.02195483
2,9,0.02571123
2,9,0.1265264
2,9,0.0591091
2,9,0.06687973
2,9,0.05107906
2,9,0.1357289
2,9,0.08150224
2,9,0.1568396
2,9,0.01366656
2,10,0.1639273
2,10,0.1364406
2,10,0.135729
2,10,0.192724
2,10,0.09194171
2,10,0.1469325
2,10,0.05750489
2,10,0.07265832
