Number,Case,Acceleration
3,5,-3.539027
3,5,-1.663668
3,5,-1.78207
3,5,-1.752184
3,5,-0.9885804
3,5,-1.052835
3,5,-3.26388
3,6,-58.17603
3,6,-16.21827
3,6,-5.161883
3,6,-2.771934
3,6,-2.542565
3,6,-1.987371
3,6,-1.009121
3,6,-0.6590687
3,6,-2.255212
3,6,-4.749182
3,6,-1.802745
3,6,-1.557244
3,6,-0.5842348
3,6,-3.908208
3,6,-0.8690678
3,6,-6.109726
3,7,-33.26141
3,7,-6.285256
3,7,-42.29776
3,7,-3.642593
3,7,-1.391514
3,7,-3.031684
3,7,-2.732373
3,7,-12.3893
3,7,-3.767443
3,7,-0.8200382
3,7,-0.9774415
3,7,-1.220218
3,7,-1.400422
3,7,-1.022618
3,7,-2.568721
3,7,-1.010499
3,7,-3.718271
3,7,-11.71241
3,8,-32.76379
3,8,-35.16735
3,8,-9.348719
3,8,-2.353936
3,8,-2.036857
3,8,-6.086152
3,8,-2.728388
3,8,-2.213641
3,8,-0.9301655
3,8,-1.991135
3,8,-0.9458522
3,8,-1.46813
3,8,-1.861836
3,8,-1.607576
3,8,-2.478018
3,9,-28.16639
3,9,-27.62716
3,9,-8.374464
3,9,-3.414727
3,9,-3.567655
3,9,-2.154292
3,9,-1.367613
3,9,-3.383055
3,9,-1.595932
3,9,-1.462943
3,9,-2.176153
3,9,-1.693015
3,9,-2.140518
3,9,-1.998764
3,9,-3.202583
3,10,-11.82352
3,10,-32.49551
3,10,-17.95012
3,10,-8.530751
3,10,-2.749119
3,10,-5.160609
3,10,-2.327199
3,10,-3.773688
3,10,-3.498738
3,10,-1.094174
3,10,-0.6269835
3,10,-0.7134566
3,10,-0.7525737
3,10,-2.065909
3,10,-0.70961
3,10,-0.6660405
4,1,-32.34729
4,1,-2.858217
4,1,-12.14716
4,1,-1.414044
4,1,-2.159878
4,1,-2.397072
4,1,-1.61673
4,1,-0.9185756
4,1,-0.6735852
4,1,-1.867575
4,1,-1.20175
4,1,-1.178091
4,1,-5.933956
4,2,-24.71169
4,2,-10.04229
4,2,-13.85733
4,2,-0.8080007
4,2,-4.341339
4,2,-1.678106
4,2,-1.375459
4,2,-0.8535154
4,2,-2.024317
4,2,-2.637515
4,2,-1.611038
4,2,-4.109852
4,2,-1.757851
4,2,-3.361359
4,3,-20.98177
4,3,-26.09189
4,3,-11.40665
4,3,-5.343451
4,3,-6.023969
4,3,-2.25439
4,3,-0.8900166
4,3,-3.745733
4,3,-2.337727
4,3,-0.6653827
4,3,-0.694418
4,3,-1.669762
4,3,-2.2179
4,3,-1.149352
4,3,-1.315455
4,3,-2.305375
4,3,-0.9928899
4,3,-2.120675
4,3,-1.105989
4,3,-0.7998742
4,3,-1.735835
4,4,-21.77816
4,4,-17.4555
4,4,-6.899101
4,4,-3.253492
4,4,-2.877146
4,4,-1.443516
4,4,-2.38215
4,4,-0.9711869
4,4,-2.067838
4,4,-2.139158
4,4,-2.640186
4,4,-1.693148
4,4,-1.16388
4,4,-1.185378
4,4,-2.175499
4,4,-1.451929
4,4,-1.621948
4,4,-4.892201
4,4,-31.6285
4,5,-22.24835
4,5,-13.20292
4,5,-4.688737
4,5,-4.249197
4,5,-1.503004
4,5,-1.262442
4,5,-3.30335
4,5,-4.380006
4,5,-2.477994
4,5,-0.8820561
4,5,-0.7430105
4,5,-1.514502
4,5,-0.698486
4,5,-1.420772
4,5,-5.193769
4,6,-13.74659
4,6,-0.9765387
4,6,-19.6093
4,6,-9.094214
4,6,-1.469369
4,6,-2.038637
4,6,-0.6511735
4,6,-1.448161
4,6,-3.340001
4,6,-1.06124
4,6,-0.6083372
4,6,-1.805042
4,6,-2.0505
4,6,-35.28473
4,7,-15.89736
4,7,-2.362988
4,7,-13.48592
4,7,-10.7783
