Number,Case,Acceleration
Execute,2,-2.957469
Execute,2,-0.4947465
Execute,2,-0.8360824
Execute,2,-0.3061673
Execute,2,-3.335918
Execute,2,-2.072316
Execute,2,-3.015744
Execute,2,-0.1102377
Execute,3,-0.01025125
Execute,3,-3.250341
Execute,3,-2.130751
Execute,3,-0.7064872
Execute,3,-0.6478376
Execute,3,-1.478622
Execute,3,-0.848732
Execute,3,-1.175327
Execute,3,-0.5173633
Execute,3,-2.007936
Execute,4,-8.518216
Execute,4,-2.062551
Execute,4,-7.395535
Execute,4,-3.196868
Execute,4,-2.00985
Execute,4,-2.252392
Execute,4,-0.1046237
Execute,4,-1.688252
Execute,4,-7.41366
Execute,5,-8.034155
Execute,5,-7.004988
Execute,5,-0.1571767
Execute,5,-6.785083
Execute,5,-4.187136
Execute,5,-3.290758
Execute,5,-0.4440039
Execute,5,-0.05203607
Execute,5,-0.6546214
Execute,5,-7.159663
Execute,6,-11.782
Execute,6,-13.39049
Execute,6,-2.461153
Execute,6,-7.822569
Execute,6,-2.846575
Execute,6,-0.5072446
Execute,6,-0.7801121
Execute,6,-0.9491928
Execute,6,-6.598784
Execute,6,-8.167584
Execute,7,-9.904052
Execute,7,-7.447073
Execute,7,-8.300142
Execute,7,-1.838528
Execute,7,-0.9561013
Execute,7,-0.2631918
Execute,7,-1.09377
Execute,7,-1.12765
Execute,8,-4.217939
Execute,8,-6.760036
Execute,8,-5.229211
Execute,8,-0.009058416
Execute,8,-8.260228
Execute,8,-5.001952
Execute,8,-1.592389
Execute,8,-0.388322
Execute,8,-3.464905
Execute,8,-8.125094
Execute,8,-9.503693
Execute,9,-13.85994
Execute,9,-5.817435
Execute,9,-2.948091
Execute,9,-0.3406357
Execute,9,-2.372195
Execute,9,-0.2670377
Execute,9,-4.34921
Execute,10,-8.122447
Execute,10,-0.1097284
Execute,10,-3.18175
Execute,10,-11.39483
Execute,10,-6.194354
Execute,10,-1.557805
Execute,10,-0.06680116
Execute,10,-0.2491299
Execute,10,-5.665205
Execute,10,-9.75417
Execute,1,-9.314
Execute,1,-2.043048
Execute,1,-6.796588
Execute,1,-6.297866
Execute,1,-8.425657
Execute,1,-6.459153
Execute,1,-0.03354512
Execute,1,-2.383822
Execute,1,-1.544398
Execute,1,-9.398838
Execute,1,-5.504441
Execute,2,-6.250262
Execute,2,-4.617605
Execute,2,-2.299229
Execute,2,-4.543966
Execute,2,-0.6509531
Execute,2,-2.546729
Execute,2,-1.82526
Execute,2,-0.04133619
Execute,2,-0.4690264
Execute,2,-1.907325
Execute,2,-0.45605
Execute,3,-0.1088277
Execute,3,-0.7817455
Execute,3,-2.413098
Execute,3,-0.1467221
Execute,3,-2.316616
Execute,3,-3.790719
Execute,3,-2.94935
Execute,3,-1.456454
Execute,3,-0.5903497
Execute,3,-0.1233535
Execute,3,-0.454181
Execute,3,-0.3937705
Execute,3,-1.189035
Execute,4,-2.653817
Execute,4,-0.8985261
Execute,4,-0.441424
Execute,4,-1.257355
Execute,4,-0.14845
Execute,4,-1.667665
Execute,4,-0.2152478
Execute,4,-0.6269419
Execute,4,-0.2111159
Execute,4,-1.292378
Execute,5,-14.32218
Execute,5,-17.92321
Execute,5,-12.22789
Execute,5,-1.732747
Execute,5,-0.3534257
Execute,5,-4.579155
Execute,5,-0.04544593
Execute,5,-2.557851
Execute,5,-0.8415169
Execute,5,-1.488327
Execute,5,-0.6442704
Execute,5,-9.591097
Execute,6,-0.04627407
Execute,6,-3.356511
Execute,6,-1.971071
Execute,6,-0.2596349
Execute,6,-1.323248
Execute,6,-2.131326
Execute,6,-2.606436
Execute,6,-2.923759
Execute,6,-3.670278
Execute,6,-2.79087
Execute,6,-0.1508459
Execute,6,-2.136912
Execute,7,-7.86762
Execute,7,-5.044756
Execute,7,-2.029454
Execute,7,-0.8103455
Execute,7,-1.08311
Execute,7,-2.273296
Execute,7,-5.713402
Execute,7,-0.1779366
Execute,7,-6.390753
Execute,8,-1.790971
Execute,8,-3.242048
Execute,8,-1.479236
Execute,8,-2.623328
Execute,8,-1.329064
Execute,8,-1.489456
Execute,8,-2.237374
Execute,8,-2.04512
Execute,8,-0.02553798
Execute,8,-2.383848
Execute,8,-1.227941
Execute,8,-3.379026
Execute,8,-0.0563357
Execute,9,-9.754363
Execute,9,-8.071954
Execute,9,-5.902262
Execute,9,-6.710427
Execute,9,-1.169211
Execute,9,-1.307474
Execute,9,-0.9977661
Execute,9,-0.149242
Execute,9,-1.844865
Execute,9,-1.888072
Execute,9,-0.6873912
Execute,9,-2.395252
Execute,9,-1.238102
Execute,9,-1.219611
Execute,10,-12.97113
Execute,10,-11.42198
Execute,10,-8.116831
Execute,10,-8.119156
Execute,10,-3.319043
Execute,10,-4.017723
Execute,10,-1.82269
Execute,10,-1.777522
Execute,10,-0.1085469
Execute,10,-3.651473
Execute,10,-2.737009
Execute,10,-4.692771
Execute,1,-0.4110176
Execute,1,-3.860931
Execute,1,-1.263386
Execute,1,-0.250855
Execute,1,-0.5052629
Execute,1,-1.318481
Execute,1,-1.70361
Execute,1,-0.9726281
Execute,1,-0.4918795
Execute,1,-0.9299669
Execute,1,-2.188995
Execute,1,-0.5605811
Execute,1,-0.7432212
Execute,1,-0.0450335
Execute,1,-0.3573
Execute,1,-0.7039564
Execute,1,-0.1053542
Execute,1,-1.202139
Execute,1,-0.5979783
Execute,1,-0.6365916
Execute,1,-0.02080626
Execute,1,-1.389865
Execute,1,-0.7239746
Execute,1,-0.5152501
Execute,1,-0.1527572
Execute,1,-4.200579
Execute,1,-2.137829
Execute,1,-0.5061671
Execute,2,-3.507587
Execute,2,-4.917582
Execute,2,-2.665107
Execute,2,-1.026206
Execute,2,-0.1551602
Execute,2,-2.800846
Execute,2,-2.288341
Execute,2,-0.02940623
Execute,2,-0.5902073
Execute,2,-0.6908299
Execute,2,-1.192947
Execute,2,-0.5820854
Execute,2,-0.6461563
Execute,2,-0.4207931
Execute,2,-2.05328
Execute,2,-1.136612
Execute,2,-0.1585144
Execute,2,-0.1870879
Execute,2,-0.5032122
Execute,2,-0.6017834
Execute,2,-0.01679249
Execute,2,-0.996299
Execute,2,-0.1966588
Execute,2,-0.6030819
Execute,2,-0.1835616
Execute,2,-0.3270984
Execute,2,-0.5660422
Execute,2,-0.7268575
Execute,2,-0.7253397
Execute,2,-0.2028069
Execute,2,-0.03885809
Execute,2,-0.7268294
Execute,2,-0.6658599
Execute,2,-2.950543
Execute,2,-3.459739
Execute,3,-1.821177
Execute,3,-2.076716
Execute,3,-1.006759
Execute,3,-0.3471886
Execute,3,-0.6346438
Execute,3,-0.2410418
Execute,3,-0.3795293
Execute,3,-1.053396
Execute,3,-1.681152
Execute,3,-1.862428
Execute,3,-0.1022426
Execute,3,-1.719487
Execute,3,-0.5931875
Execute,3,-0.2718885
Execute,3,-0.7204162
Execute,3,-0.9779834
Execute,3,-0.9977557
Execute,3,-1.076905
Execute,3,-0.04324
Execute,3,-0.7514868
Execute,3,-0.2757131
Execute,3,-0.04109768
Execute,3,-0.01835041
Execute,3,-2.950588
Execute,3,-0.09852974
Execute,3,-0.2458159
Execute,3,-0.5565656
Execute,3,-0.5469261
Execute,3,-1.460612
Execute,3,-2.104455
Execute,4,-0.1012497
Execute,4,-0.1071751
Execute,4,-1.610367
Execute,4,-3.441858
Execute,4,-0.004285015
Execute,4,-2.48412
Execute,4,-1.425724
Execute,4,-2.160845
Execute,4,-2.087613
Execute,4,-1.481978
Execute,4,-0.5817979
Execute,4,-0.7097297
Execute,4,-0.3425888
Execute,4,-0.05838142
Execute,4,-0.2316695
Execute,4,-0.6687338
Execute,4,-0.01154277
Execute,4,-0.6285244
Execute,4,-0.6045765
Execute,4,-0.03007366
Execute,4,-0.6602049
Execute,4,-0.03137798
Execute,4,-0.4128555
Execute,4,-0.01707515
Execute,4,-0.56962
Execute,4,-0.9480708
Execute,4,-0.7077864
Execute,4,-0.04715417
Execute,4,-0.00712052
Execute,4,-1.158899
Execute,4,-1.036321
Execute,4,-0.3856481
Execute,4,-0.4979405
Execute,4,-0.7980492
Execute,4,-0.2840817
Execute,4,-0.7373174
Execute,4,-0.3015589
Execute,4,-2.273838
Execute,4,-0.1739755
Execute,5,-5.045856
Execute,5,-3.743673
Execute,5,-1.000716
Execute,5,-3.834708
Execute,5,-0.9461848
Execute,5,-0.6841623
Execute,5,-0.4474789
Execute,5,-0.2914478
Execute,5,-2.453831
Execute,5,-0.1795007
Execute,5,-1.586474
Execute,5,-1.950604
Execute,5,-0.9843267
Execute,5,-0.02361098
Execute,5,-0.8210341
Execute,5,-1.016282
Execute,5,-0.5069936
Execute,5,-1.784768
Execute,5,-0.135185
Execute,5,-0.4533634
Execute,5,-0.03387514
Execute,5,-0.02995918
Execute,5,-0.1740047
Execute,5,-0.003740541
Execute,5,-0.5036508
Execute,5,-0.5129366
Execute,5,-0.6177254
Execute,5,-0.06619292
Execute,5,-0.6802098
Execute,5,-0.4716557
Execute,5,-0.9943203
Execute,5,-1.491148
Execute,6,-0.220491
Execute,6,-0.8542203
Execute,6,-1.747219
Execute,6,-1.690588
Execute,6,-0.9050826
Execute,6,-0.9592753
Execute,6,-1.234748
Execute,6,-2.360789
Execute,6,-0.8118318
Execute,6,-0.02811074
Execute,6,-0.3726845
Execute,6,-0.3727286
Execute,6,-0.6678327
Execute,6,-0.1129784
Execute,6,-0.2596216
Execute,6,-0.6555054
Execute,6,-0.6094894
Execute,6,-0.3153412
Execute,6,-0.2958809
Execute,6,-0.3602608
Execute,6,-1.630679
Execute,6,-1.032109
Execute,6,-0.07929951
Execute,6,-0.291395
Execute,6,-4.377662
Execute,6,-0.02976954
Execute,6,-0.4871935
Execute,7,-6.319508
Execute,7,-5.797883
Execute,7,-4.232886
Execute,7,-4.83335
Execute,7,-1.808653
Execute,7,-0.6393648
Execute,7,-0.6214968
Execute,7,-0.0169585
Execute,7,-0.4678416
Execute,7,-0.6684842
Execute,7,-0.4021172
Execute,7,-3.183527
Execute,7,-0.5688677
Execute,7,-1.054856
Execute,7,-0.3146519
Execute,7,-2.114836
Execute,7,-0.8731549
Execute,7,-0.1416338
Execute,7,-0.3229125
Execute,7,-0.4663191
Execute,7,-0.7810517
Execute,7,-0.01499066
Execute,7,-0.7339723
Execute,7,-0.02194038
Execute,7,-1.393371
Execute,7,-0.1960248
Execute,8,-1.020923
Execute,8,-0.7590935
Execute,8,-1.253214
Execute,8,-0.5040535
Execute,8,-0.02572266
Execute,8,-1.936699
Execute,8,-0.3579403
Execute,8,-0.6716169
Execute,8,-1.739046
Execute,8,-0.4842811
Execute,8,-0.8589085
Execute,8,-0.4272908
Execute,8,-0.02971394
Execute,8,-0.6768847
Execute,8,-1.178862
Execute,8,-0.2772727
Execute,8,-0.2420879
Execute,8,-0.0569432
Execute,8,-0.8614616
Execute,8,-0.7519985
Execute,8,-0.6573402
Execute,8,-0.05780887
Execute,8,-1.312133
Execute,8,-1.459645
Execute,8,-0.3719389
Execute,9,-2.898908
Execute,9,-3.728105
Execute,9,-3.275718
Execute,9,-1.547019
Execute,9,-1.275858
Execute,9,-0.7164915
Execute,9,-1.350247
Execute,9,-0.9039782
Execute,9,-0.8515617
Execute,9,-0.6438457
Execute,9,-0.7096031
Execute,9,-0.4262482
Execute,9,-1.168604
Execute,9,-0.2781581
Execute,9,-0.4132711
Execute,9,-0.1340261
Execute,9,-0.6199946
Execute,9,-0.7631081
Execute,9,-0.1687757
Execute,9,-0.07736631
Execute,9,-0.5503795
Execute,9,-0.03149547
Execute,9,-2.212376
Execute,9,-0.04758127
Execute,9,-0.08596937
Execute,9,-1.086174
Execute,9,-0.2875809
Execute,9,-4.240974
Execute,10,-2.874225
Execute,10,-1.28592
Execute,10,-3.270363
Execute,10,-1.699803
Execute,10,-1.410625
Execute,10,-0.1982262
Execute,10,-0.7040622
Execute,10,-0.1984476
Execute,10,-0.7749008
Execute,10,-2.927703
Execute,10,-2.953966
Execute,10,-0.08434756
Execute,10,-0.3861519
Execute,10,-0.03749044
Execute,10,-0.2944165
Execute,10,-0.6076987
Execute,10,-0.4225993
Execute,10,-0.03330959
Execute,10,-0.4045659
Execute,10,-0.4434145
Execute,10,-0.2347942
Execute,10,-1.039285
Execute,10,-0.7758004
Execute,10,-1.936106
Execute,10,-1.484498
Execute,10,-0.2736505
Execute,10,-5.322659
Execute,1,-17.9269
Execute,1,-6.746815
Execute,1,-5.306086
Execute,1,-2.312484
Execute,1,-0.6304181
Execute,1,-1.31302
Execute,1,-2.426722
Execute,1,-0.09456836
Execute,1,-0.3352607
Execute,1,-0.851234
Execute,1,-1.133123
Execute,1,-2.007362
Execute,1,-2.298421
Execute,1,-0.4937414
Execute,1,-8.696308
Execute,2,-0.1632437
Execute,2,-4.146883
Execute,2,-0.6381565
Execute,2,-0.582032
Execute,2,-0.9586092
Execute,2,-2.249253
Execute,2,-0.1867997
Execute,2,-0.9845942
Execute,2,-0.03035143
Execute,2,-1.640979
Execute,2,-1.214838
Execute,2,-4.448933
Execute,3,-0.07536858
Execute,3,-0.1390327
Execute,3,-3.154042
Execute,3,-2.980839
Execute,3,-1.465446
Execute,3,-0.9250535
Execute,3,-2.358401
Execute,3,-1.112919
Execute,3,-0.6653117
Execute,3,-2.099104
Execute,3,-0.333268
Execute,3,-0.1230655
Execute,3,-2.031806
Execute,4,-3.789318
Execute,4,-0.4662156
Execute,4,-1.560851
Execute,4,-0.3065031
Execute,4,-0.4653715
Execute,4,-3.627467
Execute,4,-1.038786
Execute,4,-0.8348281
Execute,4,-0.4192717
Execute,4,-0.01085605
Execute,4,-1.472961
Execute,4,-0.743311
Execute,4,-0.02665231
Execute,4,-0.8468015
Execute,4,-0.07825829
Execute,4,-1.478338
Execute,4,-1.99313
Execute,4,-4.568541
Execute,5,-7.019676
Execute,5,-7.217044
Execute,5,-3.531135
Execute,5,-5.892597
Execute,5,-2.478439
Execute,5,-2.064183
Execute,5,-4.041775
Execute,5,-4.31064
Execute,5,-0.166101
Execute,5,-1.626008
Execute,5,-0.05908725
Execute,5,-0.0516335
Execute,5,-1.510389
Execute,5,-0.4743042
Execute,5,-2.287863
Execute,5,-2.785422
Execute,5,-2.912837
Execute,5,-0.6364226
Execute,6,-3.686598
Execute,6,-2.29388
Execute,6,-3.171552
Execute,6,-0.7427968
Execute,6,-1.696599
Execute,6,-0.1601376
Execute,6,-1.908662
Execute,6,-3.201007
Execute,6,-0.2104824
