Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,6.88,FastTapIn,0.0,0.1040827,3.249004, ,0
1,6.9,FastTapIn,0.02,0.05961879,-2.223197, ,0
1,6.92,FastTapIn,0.04,0.0730145,0.6697856, ,0
1,6.94,FastTapIn,0.06,0.1595858,4.328567, ,0
1,6.96,FastTapIn,0.08,0.007771016,-7.590741, ,0
1,6.98,FastTapIn,0.09999999,0.1529067,7.256783, ,0
1,7.0,FastTapIn,0.12,0.04373154,-5.458756, ,0
1,7.02,FastTapIn,0.14,0.1050738,3.067114, ,0
1,7.04,FastTapIn,0.16,0.06097626,-2.204879, ,0
1,7.06,FastTapIn,0.18,0.0608953,-0.004047714, ,0
1,7.08,FastTapIn,0.2,0.08760382,1.335426, ,0
1,7.1,FastTapIn,0.22,0.07589856,-0.5852633, ,0
1,7.12,FastTapIn,0.24,0.1898515,5.697647, ,0
1,7.14,FastTapIn,0.26,0.1172119,-3.631981, ,0
1,7.16,FastTapIn,0.28,0.302345,9.256656, ,0
2,7.94,FastTapIn,0.0,0.6058388,20.09805, ,0
2,7.96,FastTapIn,0.02,0.169912,-21.79634, ,0
2,7.98,FastTapIn,0.04,0.1678389,-0.1036547, ,0
2,8.0,FastTapIn,0.06,0.260695,4.642804, ,0
2,8.02,FastTapIn,0.08,0.113146,-7.377447, ,0
2,8.04,FastTapIn,0.09999999,0.1625666,2.471026, ,0
2,8.059999,FastTapIn,0.12,0.003455171,-7.95557, ,0
2,8.08,FastTapIn,0.14,0.1899846,9.32647, ,0
2,8.099999,FastTapIn,0.16,0.01842812,-8.577823, ,0
2,8.12,FastTapIn,0.18,0.1074666,4.451922, ,0
2,8.139999,FastTapIn,0.2,0.06328864,-2.208896, ,0
2,8.16,FastTapIn,0.22,0.03486688,-1.421088, ,0
2,8.179999,FastTapIn,0.24,0.05671184,1.092248, ,0
2,8.2,FastTapIn,0.26,0.139763,4.152556, ,0
2,8.22,FastTapIn,0.28,0.4077452,13.39911, ,0
2,8.24,FastTapIn,0.3,0.2617816,-7.298182, ,0
3,8.94,FastTapIn,0.0,0.2197383,-0.4046351, ,0
3,8.96,FastTapIn,0.02,0.1466971,-3.652062, ,0
3,8.98,FastTapIn,0.04,0.07880798,-3.394455, ,0
3,9.0,FastTapIn,0.06,0.1053588,1.327539, ,0
3,9.02,FastTapIn,0.08,0.06934488,-1.800694, ,0
3,9.04,FastTapIn,0.09999999,0.230205,8.043007, ,0
3,9.059999,FastTapIn,0.12,0.136035,-4.708502, ,0
3,9.08,FastTapIn,0.14,0.1285258,-0.3754586, ,0
4,9.96,FastTapIn,0.0,0.4699359,11.67261, ,0
4,9.98,FastTapIn,0.02,0.09499472,-18.74706, ,0
4,10.0,FastTapIn,0.04,0.09737879,0.1192033, ,0
4,10.02,FastTapIn,0.06,0.116951,0.9786122, ,0
4,10.04,FastTapIn,0.08,0.02316704,-4.689199, ,0
4,10.06,FastTapIn,0.09999999,0.1652201,7.102654, ,0
4,10.08,FastTapIn,0.12,0.07326292,-4.597859, ,0
4,10.1,FastTapIn,0.14,0.1340548,3.039596, ,0
4,10.12,FastTapIn,0.16,0.2567893,6.136722, ,0
5,10.96,FastTapIn,0.0,0.06721281,-2.630695, ,0
5,10.98,FastTapIn,0.02,0.1147367,2.376197, ,0
5,11.0,FastTapIn,0.04,0.04886226,-3.293724, ,0
5,11.02,FastTapIn,0.06,0.09203351,2.158562, ,0
5,11.04,FastTapIn,0.08,0.04467139,-2.368106, ,0
5,11.06,FastTapIn,0.09999999,0.08919138,2.226, ,0
6,11.78,FastTapIn,0.0,0.2569557,-15.68282, ,0
6,11.8,FastTapIn,0.02,0.3656234,5.433384, ,0
6,11.82,FastTapIn,0.04,0.06526396,-15.01797, ,0
6,11.84,FastTapIn,0.06,0.148721,4.172851, ,0
6,11.86,FastTapIn,0.08,0.007751868,-7.048456, ,0
6,11.88,FastTapIn,0.09999999,0.01367425,0.2961189, ,0
6,11.9,FastTapIn,0.12,0.1554854,7.090558, ,0
6,11.92,FastTapIn,0.14,0.1140024,-2.074148, ,0
6,11.94,FastTapIn,0.16,0.2074705,4.673404, ,0
6,11.96,FastTapIn,0.18,0.2172384,0.4883938, ,0
7,12.76,FastTapIn,0.0,0.2153507,4.459746, ,0
7,12.78,FastTapIn,0.02,0.09398652,-6.068212, ,0
7,12.8,FastTapIn,0.04,0.03035498,-3.181577, ,0
7,12.82,FastTapIn,0.06,0.0612916,1.546831, ,0
7,12.84,FastTapIn,0.08,0.03192533,-1.468314, ,0
7,12.86,FastTapIn,0.09999999,0.04822848,0.8151574, ,0
7,12.88,FastTapIn,0.12,0.01962416,-1.430216, ,0
7,12.9,FastTapIn,0.14,0.1118357,4.610578, ,0
7,12.92,FastTapIn,0.16,0.1185089,0.3336597, ,0
7,12.94,FastTapIn,0.18,0.2243892,5.294013, ,0
7,12.96,FastTapIn,0.2,0.1148771,-5.475603, ,0
7,12.98,FastTapIn,0.22,0.1108033,-0.2036918, ,0
7,13.0,FastTapIn,0.24,0.03060373,-4.009977, ,0
7,13.02,FastTapIn,0.26,0.07649992,2.29481, ,0
7,13.04,FastTapIn,0.28,0.1363653,2.993269, ,0
7,13.06,FastTapIn,0.3,0.2584546,6.104465, ,0
8,17.1,FastTapIn,0.0,0.2392985,-12.32471, ,0
8,17.12,FastTapIn,0.02,0.3997791,8.024028, ,0
8,17.14,FastTapIn,0.04,0.1640081,-11.78855, ,0
8,17.16,FastTapIn,0.06,0.09798101,-3.301353, ,0
8,17.18,FastTapIn,0.08,0.03757238,-3.020431, ,0
8,17.2,FastTapIn,0.09999999,0.1461937,5.431065, ,0
8,17.22,FastTapIn,0.12,0.3294204,9.161339, ,0
8,17.24,FastTapIn,0.14,0.185375,-7.202274, ,0
9,18.36,FastTapIn,0.0,0.2201365,6.201025, ,0
9,18.38,FastTapIn,0.02,0.113654,-5.32413, ,0
9,18.4,FastTapIn,0.04,0.1937984,4.007224, ,0
9,18.42,FastTapIn,0.06,0.01564606,-8.907619, ,0
9,18.44,FastTapIn,0.08,0.1473271,6.584054, ,0
9,18.46,FastTapIn,0.09999999,0.1407192,-0.330396, ,0
10,19.3,FastTapIn,0.0,0.4295292,-12.33854, ,0
10,19.32,FastTapIn,0.02,0.6210206,9.57457, ,0
10,19.34,FastTapIn,0.04,0.220228,-20.03963, ,0
10,19.36,FastTapIn,0.06,0.04552931,-8.734936, ,0
10,19.38,FastTapIn,0.08,0.03165568,-0.6936813, ,0
10,19.4,FastTapIn,0.09999999,0.1804945,7.441939, ,0
10,19.42,FastTapIn,0.12,0.5281224,17.3814, ,0
